id,product_id,tenant_domain,market_id,type,title,explanation,related_competitors,suggested_priority,suggested_quarter,status,created_at,assigned_to_user_id
0de5da71-6ed0-4c92-8ceb-67d6b23d0640,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,gap,Integration with Enterprise Transformation & Project Management Tools,"Competitors position themselves as embedded partners working within existing client ecosystems. Nebula lacks integrations with common enterprise tools like Jira, Azure DevOps, ServiceNow, or Smartsheet that would allow workshop outputs to flow seamlessly into execution workflows. This integration gap forces organizations to manually transfer ideation results, creating friction that consultancies exploit by offering end-to-end services.","[""Credera"", ""Point B"", ""Propeller""]",medium,Q3,pending,2026-01-22 22:33:17.325931,
90d6fb03-4db2-4f13-b614-3b6483f75e59,afefe297-2a85-436c-9016-3742a48b0f57,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,gap,AI-Powered Business Process Redesign & Workflow Optimization,"Competitors like West Monroe emphasize that 'AI won't fix broken work' and focus on fundamental process redesign before applying AI. While Constellation has AI narratives for estimates and invoices, it lacks capabilities to analyze and optimize underlying project management workflows, resource allocation patterns, or billing processes. Adding AI-driven insights that identify inefficiencies and recommend process improvements would differentiate Constellation from basic project management tools.","[""West Monroe"", ""Point B"", ""Propeller""]",high,Q2,pending,2026-01-22 22:42:05.963025,
9b29a3bd-3109-4be4-adc3-d6673f4599c6,afefe297-2a85-436c-9016-3742a48b0f57,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,opportunity,Private Equity & M&A Deal Lifecycle Management,"E78 has built their entire platform around private equity value creation across the 'full deal lifecycle' with deal execution, integration, and exit planning features. No other competitor has productized this workflow. Constellation could add deal tracking, pre-acquisition due diligence estimation, post-merger integration project templates, and portfolio-level financial rollups to capture the growing PE-backed consultancy market.","[""E78""]",high,Q2,accepted,2026-01-22 22:42:06.011658,
a1860715-25d3-4388-aa6b-6b44dda7acd9,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,risk,Change Management & Stakeholder Alignment Features,"West Monroe explicitly states 'the real barrier to AI ROI is people and resistance to change,' and all competitors emphasize change management capabilities. Nebula focuses on ideation mechanics but lacks features to identify stakeholders, map influence networks, track buy-in, or facilitate alignment conversations. Without addressing the human dimension of transformation, Nebula risks being seen as a tactical workshop tool while competitors own the strategic transformation narrative.","[""West Monroe"", ""Propeller"", ""Point B""]",high,Q2,dismissed,2026-01-22 22:33:17.366993,
cc0aa8e3-c0d8-4f77-8d05-f9023ae64ff1,afefe297-2a85-436c-9016-3742a48b0f57,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,risk,Advanced Analytics & Predictive Insights,"All competitors heavily emphasize data analytics, insights, and measurable outcomes (Point B: 'Turn insights into outcomes', West Monroe: '$3.5B+ in benefits delivered', E78: 'EBITDA optimization'). While Constellation has basic reporting and KPI dashboards, it lacks predictive analytics for project risk, revenue forecasting, or resource demand planning. Without advanced analytics capabilities, Constellation risks being seen as a tracking tool rather than a strategic decision-making platform.","[""Point B"", ""West Monroe"", ""E78"", ""Propeller""]",high,Q1,dismissed,2026-01-22 22:42:06.055268,
d7691030-6fe4-4a0b-a748-8964a8e7f0b8,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,opportunity,Post-Workshop Implementation Tracking & ROI Measurement,"All competitors emphasize measurable outcomes and sustained transformation (West Monroe: $3.5B+ benefits delivered, Point B: 78 NPS score, E78: value creation acceleration). Nebula currently ends at personalized results generation, missing the crucial implementation phase. Building features for action item tracking, progress monitoring, impact measurement, and ROI dashboards would differentiate Nebula by closing the ideation-to-execution gap that consultancies claim to own.","[""West Monroe"", ""Point B"", ""E78"", ""Propeller""]",high,Q3,dismissed,2026-01-22 22:33:17.305086,
3127b880-770a-4797-b4be-0bcc99b426a9,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,gap,AI-Powered Process Redesign & Transformation Advisory,"Competitors like West Monroe and Point B emphasize that AI transformation requires fundamental process redesign, not just technology implementation. Nebula currently provides tactical workshop tools but lacks strategic consulting features that help organizations identify which processes to redesign before running ideation sessions. Adding pre-workshop diagnostic capabilities, process mapping templates, and AI readiness assessments would position Nebula as a strategic transformation platform rather than just a facilitation tool.","[""West Monroe"", ""Point B"", ""Propeller""]",high,Q2,dismissed,2026-01-22 22:33:17.282055,
a23ab04e-51b3-40d7-8f27-801cc0cdc0fb,afefe297-2a85-436c-9016-3742a48b0f57,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,opportunity,Industry-Specific Templates & Benchmarking,"Competitors like Point B and E78 emphasize deep vertical expertise (retail, healthcare, financial services, manufacturing) and proven methodologies with measurable outcomes. Constellation could differentiate by offering pre-built project templates, estimate libraries, and industry-specific benchmarking data (e.g., 'typical retail transformation timeline is X weeks', 'average consulting margin in healthcare is Y%') that leverage its existing data across tenants.","[""Point B"", ""E78"", ""Propeller"", ""Credera""]",medium,Q3,dismissed,2026-01-22 22:42:06.033415,
de9d913f-c66a-45e8-bc6e-c82e666d7de7,afefe297-2a85-436c-9016-3742a48b0f57,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,gap,Change Management & Transformation Tracking,"All competitors emphasize change management and transformation execution as core offerings (West Monroe notes 'resistance to change' as the real barrier to AI ROI, E78 focuses on 'value creation accelerated'). Constellation lacks features to track organizational change initiatives, measure adoption metrics, or manage stakeholder engagement during project transformations. This gap limits its appeal to consultancies managing complex client transformations.","[""West Monroe"", ""E78"", ""Propeller"", ""Point B""]",medium,Q3,dismissed,2026-01-22 22:42:05.989499,
1ac82848-3533-4031-ae92-5ad36a8eb4b0,f369bdb3-3311-4c90-a675-019b35a54cb8,synozur.com,5428db01-79b3-4487-a2b2-0e63327f2510,gap,Expand Multi-Repository Connector Ecosystem (40+ Connectors),"DryvIQ emphasizes 40+ repository connectors as a core competitive strength, enabling migrations from diverse legacy systems (Box, Google Drive, Dropbox, NFS, OpenText, etc.). Themis ICE currently focuses on Microsoft 365/SharePoint integration but lacks breadth in source connectors, limiting addressable market for complex, heterogeneous enterprise migrations. Xillio similarly highlights 60+ connectors and low-code platform capabilities for legacy ECM systems.","[""DryvIQ"", ""Xillio""]",high,Q2,pending,2026-01-23 01:53:22.142735,
