id,product_id,feature_id,tenant_domain,market_id,title,description,quarter,year,effort,status,ai_recommended,created_at,updated_at,from_feedback
9a637911-6a47-4524-9122-1f2efcec3609,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Accessibility Audit,"WCAG 2.1 AA compliance, screen reader support, keyboard navigation",Q2,2026,m,planned,f,2026-01-22 22:29:59.350663,2026-01-22 22:30:27.955,f
86e1adbe-6b36-4a34-9dd1-081160fdda58,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Timer Countdown Implementation,Visual countdown timer with auto-close when timer expires for Ideation module,Q1,2026,s,planned,f,2026-01-22 22:29:59.253499,2026-01-22 22:30:41.164,f
5496c69d-3d83-4791-a9be-74c15056c70f,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Real-time Analytics Dashboard,"Live participation rates, idea velocity, voting progress",Q1,2026,xl,planned,f,2026-01-22 22:29:59.510972,2026-01-22 22:30:56.481,f
fb23ffa7-63fa-493f-8ef7-172aa180d6b4,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Slack/Teams Integration,Send session notifications to external platforms,Q3,2026,l,planned,f,2026-01-22 22:29:59.48843,2026-01-22 22:31:05.822,f
f1d12383-f2f4-4594-bd5f-e27ccac3e78b,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Mobile Responsiveness,"Optimize Priority Matrix, Staircase, and drag-and-drop for mobile",Q2,2026,l,planned,f,2026-01-22 22:29:59.373403,2026-01-22 22:31:16.968,f
247674ac-4243-4905-b36c-50451f09bf2f,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Persistent Session Store,Migrate from memory-based to PostgreSQL-backed sessions for production reliability,Q1,2026,l,planned,f,2026-01-22 22:29:59.207976,2026-01-22 22:31:33.205,f
d4387503-02ce-4e6d-93d8-d44e80f752db,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Test Coverage,"Unit tests, integration tests, E2E tests for critical flows",Q2,2026,xl,planned,f,2026-01-22 22:29:59.41918,2026-01-22 22:31:46.92,f
d65cd635-d036-4c3d-9f0f-157fe3fbe3ea,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Full-Text Search for Knowledge Base,Search across uploaded documents for AI grounding,Q3,2026,l,planned,f,2026-01-22 22:29:59.30317,2026-01-22 22:31:52.85,f
0626effc-ffef-4f0d-a022-1aeb729fa3bb,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Token Rotation,Implement refresh token rotation and secure storage for long-lived sessions,Q1,2026,m,planned,f,2026-01-22 22:29:59.230672,2026-01-22 22:31:59.227,f
40fc85d3-2a7b-4e64-b785-96d1906f387c,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Commercial Schemes,"Retainer/drawdown tracking with balance management, milestone fixed-fee management with acceptance criteria, and T&M billing with NTE budget tracking",Q2,2026,xl,planned,f,2026-01-22 22:39:33.470012,2026-01-22 22:39:48.563,f
a6f79675-069d-4d20-99cb-a9325d6c94dc,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Enhanced Export Options,"Participant contribution breakdown, module progression data, timestamp trails",Q2,2026,m,planned,f,2026-01-22 22:29:59.279317,2026-01-22 22:32:12.078,f
1128626d-133a-40af-a264-ef8196b50476,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,In-App Notifications,"Real-time notification center for joins, phase changes, results",Q1,2026,l,planned,f,2026-01-22 22:29:59.325994,2026-01-22 22:32:18.308,f
67a2e077-6e3e-44e2-860b-ebbfe71c83f5,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,API Documentation,OpenAPI/Swagger documentation for all REST endpoints,Q3,2026,l,planned,f,2026-01-22 22:29:59.464836,2026-01-22 22:32:27.135,f
aa9b518f-3783-4ed9-9c44-8a53e13d2455,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Bulk User Import,CSV import for creating multiple users at once,Q2,2026,m,planned,f,2026-01-22 22:29:59.396432,2026-01-22 22:32:40.579,f
ec623abf-11c6-40de-930e-c06f7b776b40,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Database Backup Strategy,Automated backup and point-in-time recovery,Q1,2026,m,planned,f,2026-01-22 22:29:59.44207,2026-01-22 22:32:45.927,f
d0c44dca-c81e-4bab-85ee-09f5a99e32bb,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,OAuth Integration Completion,Complete Orion identity provider registration and enable OAuth killswitch,Q2,2026,m,planned,f,2026-01-22 22:29:59.180857,2026-01-22 22:32:54.361,f
4414e7ae-f626-4d95-8c3e-aa2ab328bd37,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Pricing & Rate Management,"Rack vs charge rate separation with margin calculations, project/client/role rate precedence with effective dates, and field-level security for cost rates",Q1,2026,l,planned,f,2026-01-22 22:39:33.491919,2026-01-22 22:39:55.399,f
34b2c9ff-0705-47b8-afa2-a3e1651a575b,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Microsoft 365 Integration,"Auto-create Teams per client with project channels, SharePoint site provisioning, and Planner bidirectional sync with webhooks and conflict resolution",Q1,2026,xl,planned,f,2026-01-22 22:39:33.514347,2026-01-22 22:40:01.672,f
85ac6884-f1ab-4001-ac08-ba7c1d45537b,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,QuickBooks Online Integration,"OAuth2 authentication, client/invoice mapping, and batch export functionality",Q1,2026,l,planned,f,2026-01-22 22:39:33.560591,2026-01-22 22:40:55.562,f
496aa3cc-68f6-46f8-af00-5cc1b3fc2e70,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Multi-Tenancy Enhancements,"Self-service signup with trial plans, subdomain routing for Enterprise/Unlimited plans, tenant branding, and per-tenant SSO",Q2,2026,xl,planned,f,2026-01-22 22:39:33.537073,2026-01-22 22:41:11.066,f
1e429197-b113-4cae-a2fe-7c4318939ef8,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Notifications System,"In-app notification center with bell icon, email notifications via SendGrid/Outlook, time entry reminders, expense approvals, budget alerts, and deadline notifications",Q2,2026,xl,planned,f,2026-01-22 22:39:33.447257,2026-01-22 22:41:19.247,f
5fbe7c1e-325e-4126-9ee7-13fe0b4e4f62,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Project Reporting API,"Comprehensive reporting with filters, budget utilization, and resource summaries",Q4,2026,l,planned,f,2026-01-22 22:39:33.420576,2026-01-22 22:41:42.895,f
25927e54-6af8-4c36-a260-d1fa97d4f588,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Extended Integrations,"HubSpot contact sync and deal-to-project flow, Salesforce, Microsoft Dynamics 365, Xero, NetSuite, Slack notifications, and project management tool sync",Q1,2026,xl,planned,f,2026-01-22 22:39:33.719616,2026-01-22 22:39:33.719616,f
6dacb069-a62a-4db2-922b-ea45f8cb74c4,afefe297-2a85-436c-9016-3742a48b0f57,,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Accounts Payable Module,"Contractor invoice submission and matching, PDF upload with SharePoint storage, time/expense matching interface with variance alerts, and approval/payment tracking workflow",Q1,2026,xl,planned,f,2026-01-22 22:39:33.742329,2026-01-22 22:39:33.742329,f
