id,tenant_domain,market_id,title,description,url,content,file_url,file_type,file_size,category_id,status,captured_via_extension,created_by,created_at,updated_at,ai_summary,lead_image_url,extraction_status,product_ids,tags,asset_type,seo_title,meta_description,seo_slug,seo_keywords,seo_optimized_at,repurposed_from_asset_id,repurpose_meta,subtitle,overview,post_tags,asset_date,is_external,website_post_id,website_post_slug,website_post_status,website_scheduled_for,source_brief_id,website_excerpt,website_author_id,website_category_ids,website_tag_ids
f846a476-a780-4e4c-80b4-6e3c99f41e4a,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Synozur,,https://www.synozur.com,,,,,,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 20:10:11.622603,2026-03-22 20:10:11.622603,,,none,,,other,,,,,,,,,,,,f,,,,,,,,,
c273a2f8-4151-4d78-a313-db8560c6158e,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Synozur,"Synozur is the transformation company — a woman-owned advisory firm helping organizations find their North Star through AI strategy, leadership, and Microsoft 365.",https://www.synozur.com,,,,,26fb2332-40e6-4dcc-bb95-15ef13cf2fb1,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:34.951799,2026-03-22 22:37:34.951799,,"https://static.wixstatic.com/media/b805ce_53dcd08840e343b18f38c04258086404%7Emv2.png/v1/fit/w_2500,h_1330,al_c/b805ce_53dcd08840e343b18f38c04258086404%7Emv2.png",captured,,,other,,,,,,,,,,,,f,,,,,,,,,
3ff87a44-657a-42e9-b5a5-3c7f1055641d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Orion AI Maturity Assessments | The Synozur Alliance,Science-backed digital transformation assessments trusted by leading enterprises. Assess your organization's maturity across multiple dimensions.,https://orion.synozur.com/ai-maturity,,,,,d0e213be-7825-40a8-8174-f847692ffe4f,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:36.132617,2026-03-22 22:37:36.132617,,https://models.synozur.com/og-image.jpg,captured,,,other,,,,,,,,,,,,f,,,,,,,,,
5cb30d54-ec2f-4d85-a515-0af5183ed924,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Orbit Competitive Market Analysis | The Synozur Alliance,AI-driven marketing intelligence platform for The Synozur Alliance LLC.,https://orbit.synozur.com/,,,,,251de541-90d6-4fed-b370-c318e7e37080,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:36.825244,2026-03-22 22:37:36.825244,,https://synozur-orbit-prod.replit.app/opengraph.jpg,captured,,,other,,,,,,,,,,,,f,,,,,,,,,
4e66f7e9-0186-4d02-a7b3-677eb6b28551,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Orion Digital Transformation Assessments | The Synozur Alliance,Science-backed digital transformation assessments trusted by leading enterprises. Assess your organization's maturity across multiple dimensions.,https://orion.synozur.com/,,,,,251de541-90d6-4fed-b370-c318e7e37080,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:37.506652,2026-03-22 22:37:37.506652,,https://models.synozur.com/og-image.jpg,captured,,,other,,,,,,,,,,,,f,,,,,,,,,
d9326962-fb55-42e3-821e-cd7c560e4bef,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Vega - The Synozur Alliance Company OS,Vega delivers the ultimate Company Operating System experience. Designed by former Microsoft Viva product leadership.,https://vega.synozur.com/,,,,,251de541-90d6-4fed-b370-c318e7e37080,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:38.12503,2026-03-22 22:37:38.12503,,https://vega.synozur.com/og-image.png?v=2,captured,,,other,,,,,,,,,,,,f,,,,,,,,,
ef3bc94c-a6d6-46f8-9fb4-c74c410fe655,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Transform Your Business with The Synozur Alliance | Strategic Advisory Services,"Synozur is the transformation company — a woman-owned advisory firm helping organizations find their North Star through AI strategy, leadership, and Microsoft 365.",https://www.synozur.com/,,,,,20fe20d9-1e62-4bae-bad7-43f37f47a394,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:38.74759,2026-03-22 22:37:38.74759,,"https://static.wixstatic.com/media/b805ce_53dcd08840e343b18f38c04258086404%7Emv2.png/v1/fit/w_2500,h_1330,al_c/b805ce_53dcd08840e343b18f38c04258086404%7Emv2.png",captured,,,other,,,,,,,,,,,,f,,,,,,,,,
fb09f357-2dd5-49c6-82eb-8fd0ba2bbdec,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Constellation | The Synozur Alliance,"Constellation is Synozur’s AI‑powered Consulting Delivery Platform, purpose-built for professional services organizations and designed to improve execution quality, delivery confidence, and leadership decision‑making across engagements. By unifying project delivery, financials, and operational data inside the Microsoft 365 ecosystem, Constellation gives leaders a real‑time, trustworthy view of status, deliverables, risks, issues, and costs—without relying on manual reporting or disconnected tools. 

AI capabilities built on Microsoft AI Foundry continuously synthesize live system data to generate clear status reports, highlight delivery risk, surface emerging issues, and produce executive‑ready narratives and artifacts stored directly in SharePoint Embedded and accessible through Teams. Constellation tracks deliverables end‑to‑end, links work progress to financial performance, and makes accountability explicit—so teams spend less time assembling updates and more time addressing what matters. Tasks are synchronized to Outlook and Planner, and Constellation's AI agent integrates directly into M365 Copilot for ease of use.

With deep Microsoft alignment, CRM integration, and Copilot‑ready data access, Constellation turns delivery operations into a predictable, transparent system that helps organizations stay on track, manage risk proactively, and keep execution aligned to strategy as work unfolds.",https://www.synozur.com/applications/constellation,,,,,251de541-90d6-4fed-b370-c318e7e37080,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:39.37574,2026-03-22 22:37:39.37574,,"https://static.wixstatic.com/media/b805ce_f13ce62d083e4111a33c355746cb292b~mv2.jpeg/v1/fill/w_4679,h_3120,al_c,q_90/AdobeStock_244105520.jpeg",captured,,,other,,,,,,,,,,,,f,,,,,,,,,
bd8b5218-bc46-407b-ada9-00ceac431361,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Holidays and Birthdays Web Part | The Synozur Alliance,"Project Comet is a small but meaningful way to make work more human. It brings holidays and birthdays into everyday view across SharePoint and Viva Connections—helping organizations pause, rest, and celebrate the people who make the work possible. Designed to deploy in minutes and managed entirely through standard SharePoint lists and permissions, Project Comet removes friction for administrators while creating moments of recognition and connection for employees. Built as an open, community‑first solution and shared freely with no licensing or paywalls, Project Comet is our gift back to the SharePoint community—a reminder that great digital workplaces don’t just help us work better, they help us care for one another too.",https://www.synozur.com/applications/holidays-and-birthdays-web-part,,,,,251de541-90d6-4fed-b370-c318e7e37080,active,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:40.012528,2026-03-22 22:37:40.012528,,"https://static.wixstatic.com/media/b805ce_a49c1db64df24772bd68da04fc5c540c~mv2.jpg/v1/fill/w_144,h_144,al_c,q_80/default-holiday_a6565966acb6a0ae2a6593819479c31f.jpg",captured,,,other,,,,,,,,,,,,f,,,,,,,,,
fd2e83c6-87ed-4fc4-b45e-0663b037b2eb,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,AI & Governance Acceleration for Private Equity | The Synozur Alliance,"A private equity firm partnered with Synozur to rapidly accelerate AI readiness while strengthening governance, security, and executive alignment.",https://www.synozur.com/case-studies/ai-%26-governance-acceleration-for-private-equity,,,,,b5e0bd0f-1532-4700-97ba-02b14c8faea5,archived,f,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:44.852625,2026-03-25 00:02:11.753,,"https://static.wixstatic.com/media/b805ce_a67e17e43687429ebb2e6bffe60af815~mv2.jpeg/v1/fill/w_6627,h_4418,al_c,q_90/AdobeStock_502007078.jpeg",captured,,,other,,,,,,,,,,,,f,,,,,,,,,
