id,tenant_id,name,description,is_default,status,created_by,created_at,updated_at,business_type,primary_color,secondary_color,last_visited_at
f78f8c44-7b05-43c5-9add-a08bf46af886,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Allytics,"Allytics is a full-service marketing firm that specializes in helping tech companies differentiate themselves through strategic marketing, content creation, creative design, and web development. They work with clients from strategy to implementation to help tell compelling stories that resonate with target audiences.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-19 20:19:03.738311,2026-01-19 20:19:03.738311,b2b,,,
e36f9f62-612b-40dd-b2af-39a6cab20c7a,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Akumina,"Akumina provides an employee experience platform and SharePoint-based intranet solution built on Microsoft 365. They help organizations create personalized, mobile-ready digital workplaces that connect employees to information, the business, and each other while maximizing existing Microsoft investments.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-19 23:46:14.756648,2026-01-19 23:46:14.756648,b2b,,,
9a959fb8-9171-4141-a2b8-f2df7ee805ee,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,RecordPoint,"RecordPoint provides a data lifecycle and AI governance platform that helps organizations automatically discover, classify, and manage structured and unstructured data across all systems. They enable companies to maintain compliance, reduce risk, and prepare clean datasets for AI adoption through automated data governance and lifecycle management.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-20 06:44:37.057034,2026-01-20 06:44:37.057034,b2b,,,
17daaca7-2a15-4f92-bbf3-c9a401ef36ac,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,M-Files,"M-Files provides an AI-powered document management system (DMS) with workflow automation that helps organizations manage unstructured information, automate document-centric processes, and improve efficiency across various industries including accounting, consulting, manufacturing, and engineering.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-20 09:26:36.242,2026-01-20 09:26:36.242,b2b,,,
bc7e3c6b-277f-4220-81d8-2bc62426ad25,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Reveille Software,"Reveille Software provides monitoring, observability, and service level assurance solutions for Enterprise Content Management (ECM), Intelligent Document Processing (IDP), and Robotic Process Automation (RPA) platforms. They help organizations prevent downtime and ensure business-critical document and content processes run continuously through AI-driven monitoring, alerts, and self-healing automation.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-21 15:26:27.630861,2026-01-21 15:26:27.630861,b2b,,,
5428db01-79b3-4487-a2b2-0e63327f2510,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Helux,HELUX is a Canadian Microsoft-focused enterprise content management and intelligent migration services provider best known for its THEMIS IA and THEMIS ICE products that streamline information architecture and content modernization.,f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-18 20:02:39.215346,2026-01-23 21:46:21.683,b2b,,,
5232feeb-8671-489f-ab07-e9d7310f0a3f,d141ef0a-c388-4c93-89a3-6a59192778d4,Default,Default market for reveillesoftware.com,t,active,d816008f-9e8e-434b-8a60-bad260959ddb,2026-02-09 03:50:28.734492,2026-02-09 03:50:28.734492,b2b,,,
dfad5af1-e6da-4d26-a1d1-6faab3115447,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Ready Credit,"Ready Credit provides digital payment solutions and cash-to-card kiosk technology that converts cash into prepaid debit cards (ReadyCARD®), helping businesses streamline transactions, reduce cash handling, and improve operational efficiency. Since 2005, they have served various industries including airports, amusement parks, transit systems, and entertainment venues across North America.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-02-12 05:47:54.311302,2026-02-12 05:47:54.311302,b2b,,,
cbb5fabd-c82b-4d50-bd34-2a0d79398622,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Sunset Point Software,"Sunset Point Software specializes in legacy system decommissioning by converting outdated systems into structured, tamper-evident PDF archives that preserve data, compliance, and institutional knowledge. Their 'Snapshot' technology enables organizations to safely retire obsolete applications while maintaining audit-ready, AI-compatible archives of critical business information.",f,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-02-17 14:20:22.826947,2026-02-17 14:20:22.826947,b2b,,,
0a0caa0c-74f1-41e0-ae37-a070ed194772,7b3e4d72-a5b3-4e71-bb42-97d034dd38b4,Salient7,"Salient7 is a management consulting firm that brings CEO experience and technology consulting expertise to help business leaders clarify priorities, build effective strategies, and maximize operational effectiveness. They focus on helping companies navigate growth opportunities including leadership scaling, AI integration, strategy development, M365 productivity, and sales optimization while reducing common business pain points like owner dependency and lack of strategic focus.",f,archived,116500d0-357e-4ace-a7af-7264ed58e22a,2026-01-28 22:01:11.964808,2026-07-18 07:04:29.198,b2b,,,
